Program Name,Program Type,Size in Bytes
lwp-download,Perl script text executable,10292
lwp-dump,Perl script text executable,2711
lwp-mirror,Perl script text executable,2413
lwp-request,Perl script text executable,16200
mailodf,Python script,2818
make-dummy-cert,a /usr/bin/sh script,614
mako-render-3.9,Python script,972
manview,a /usr/bin/sh script,91
map,Perl script text executable,4075
mbim-network,a /usr/bin/sh script,11347
mcheck,a /usr/bin/sh script,1683
mcomp,a /usr/bin/sh script,851
mconfig,a /usr/bin/sh script,82
mcs,a /usr/bin/sh script,78
mdassembler,a /usr/bin/sh script,299
mdoc,a /usr/bin/sh script,79
mdoc-assemble,a /usr/bin/sh script,38
mdoc-export-html,a /usr/bin/sh script,41
mdoc-export-msxdoc,a /usr/bin/sh script,43
mdoc-update,a /usr/bin/sh script,36
mdoc-validate,a /usr/bin/sh script,38
mdvalidater,a /usr/bin/sh script,48
mech-dump,Perl script text executable,4860
mimedump,Perl script text executable,2350
mimeencode,Perl script text executable,849
mimeexplode,Perl script text executable,3355
mimepostcard,Perl script text executable,2740
mimesend,Perl script text executable,3136
miniterm-3.py,Python script,35101
mintlocale,Bourne-Again shell script,64
mirmon,Perl script text executable,71023
mirrorMappings,Perl script text executable,3783
mirrorlist_statistics,Python script,7127
mkCSGB2312,Perl script text executable,2918
mkfontdir,a /usr/bin/sh script,69
mkindex,a /usr/bin/sh script,1101
mkinitrd,Bourne-Again shell script,6613
mkmapfile,Perl script text executable,4174
mkocp,a /usr/bin/sh script,175
mkofm,a /usr/bin/sh script,89
mkpasswd-expect,a /usr/bin/sh script,5709
mm2_crawler,Python script,55694
mm2_create_install_repo,Python script,4866
mm2_emergency-expire-repo,Python script,3992
mm2_generate-worldmap,Python script,4562
mm2_get_global_netblocks,Bourne-Again shell script,2624
mm2_get_internet2_netblocks,Bourne-Again shell script,2898
mm2_move-devel-to-release,Python script,4834
mm2_move-to-archive,Python script,3259
mm2_propagation,Python script,9258
mm2_refresh_mirrorlist_cache,Python script,1688
mm2_umdl2,Python script,10374
mm2_update-EC2-netblocks,Python script,4236
mm2_update-master-directory-list,Python script,40213
mm2_update-mirrorlist-server,Bourne-Again shell script,1112
mm2_upgrade-install-repo,Python script,4765
mmroff,Perl script text executable,3838
mod,a /usr/bin/sh script,78
mod_wsgi-express-3,Python script,979
mono-heapviz,Python script,11145
mono-package-runtime,Bourne-Again shell script,1473
mono-service,a /usr/bin/sh script,1292
mono-service2,a /usr/bin/sh script,1292
mono-sgen-gdb.py,Python script,12186
mono-test-install,Bourne-Again shell script,4324
monodocer,a /usr/bin/sh script,1102
monodocs2html,a /usr/bin/sh script,694
monodocs2slashdoc,a /usr/bin/sh script,44
moose-outdated,Perl script text executable,436
mozroots,a /usr/bin/sh script,83
mp2bug,Perl script text executable,1186
ms_print,Perl script text executable,24327
msgfmt2.7.py,Python script,6487
msgfmt3.6.py,Python script,7080
msgfmt3.7.py,Python script,7080
msgfmt3.8.py,Python script,7590
msgfmt3.9.py,Python script,7590
mxtar,a /usr/bin/sh script,788
mymeta-cpanfile,Perl script text executable,2773
mypy,Python script,943
mypyc,Python script,1434
nemo-preview,a /usr/bin/sh script,474
neqn,a /usr/bin/sh script,916
net-server,Perl script text executable,3418
nroff,a /usr/bin/sh script,3285
nudatus,Python script,958
nvlc,a /usr/bin/sh script,50
nytprofcalls,Perl script text executable,6627
nytprofcg,Perl script text executable,4075
nytprofcsv,Perl script text executable,5549
nytprofhtml,Perl script text executable,80341
nytprofmerge,Perl script text executable,14509
nytprofpf,Perl script text executable,4811
ocs,a /usr/bin/sh script,7263
odf2mht,Python script,2296
odf2xhtml,Python script,1628
odf2xml,Python script,2455
odfimgimport,Python script,6040
odflint,Python script,7651
odfmeta,Python script,8448
odfoutline,Python script,4577
odfuserfield,Python script,2631
ogonkify,Perl script text executable,9307
ogrmerge.py,Python script,23009
onboard,Python script,1277
onboard-settings,Python script,848
oobase,a /usr/bin/sh script,43
oocalc,a /usr/bin/sh script,43
oodraw,a /usr/bin/sh script,43
ooffice,a /usr/bin/sh script,36
ooimpress,a /usr/bin/sh script,46
oomath,a /usr/bin/sh script,43
ooviewdoc,a /usr/bin/sh script,43
oowriter,a /usr/bin/sh script,45
openbox-session,a /usr/bin/sh script,585
opengl-game-wrapper.sh,Bourne-Again shell script,152
orca,Python script,8742
os-prober,a /usr/bin/sh script,5919
over,a /usr/bin/sh script,110
pa-info,Bourne-Again shell script,2043
package-stash-conflicts,Perl script text executable,1051
padsp,a /usr/bin/sh script,2233
padsp-32,a /usr/bin/sh script,2229
passmass,a /usr/bin/sh script,4741
pastebin,Python script,776
pasteurize-3.9,Python script,964
pathfix3.7.py,Python script,6717
pathfix3.8.py,Python script,6786
pathfix3.9.py,Python script,6786
pbr-3,Python script,151
pchrt,Python script,4622
pcre-config,a /usr/bin/sh script,2142
pcre2-config,a /usr/bin/sh script,1954
pdb2mdb,a /usr/bin/sh script,82
pdf2dsc,a /usr/bin/sh script,701
pdf2ps,a /usr/bin/sh script,913
pdfmom,Perl script text executable,3100
pdftexi2dvi,a /usr/bin/sh script,1250
pdiff,a /usr/bin/sh script,5345
perl-tags,Perl script text executable,1177
perlbug,Perl script text executable,44863
perlcritic,Perl script text executable,41018
perldoc,Perl script text executable,118
perlivp,Perl script text executable,10813
perlthanks,Perl script text executable,44863
perltidy,Perl script text executable,166206
pflags,Python script,2171
pgzrun,Python script,947
phpize,a /usr/bin/sh script,4745
piconv,Perl script text executable,8271
pinentry,a /usr/bin/sh script,2408
pinout,Python script,959
pip,Python script,648
pip3,Python script,648
pip3.9,Python script,648
pipdeptree,Python script,976
pipenv,Python script,965
pipenv-resolver,Python script,983
pipreqs,Python script,958
pipsi,Python script,942
pitchplay,a /usr/bin/sh script,1008
pkg-config,a /usr/bin/sh script,335
pkginfo,Python script,964
pl2pm,Perl script text executable,4533
plackup,Perl script text executable,7397
pod2html,Perl script text executable,4134
pod2man,Perl script text executable,15034
pod2texi,Perl script text executable,19843
pod2text,Perl script text executable,10803
pod2usage,Perl script text executable,4107
podchecker,Perl script text executable,3658
podlint,Perl script text executable,1537
podselect,Perl script text executable,2527
podspell,Perl script text executable,1248
poetry,Python script,956
pom2,Perl script text executable,3891
pomdump,Perl script text executable,1240
postgresql-setup,Bourne-Again shell script,25338
powerline-config,Python script,582
powerline-daemon,Python script,12808
powerline-lint,Python script,343
powerline-render,Python script,886
precat,a /usr/bin/sh script,5660
preunzip,a /usr/bin/sh script,5660
prezip,a /usr/bin/sh script,5660
probe,Perl script text executable,2170
proofgeneral,a /usr/bin/sh script,3100
proselint,Python script,971
prove,Perl script text executable,13562
ps2ascii,a /usr/bin/sh script,635
ps2epsi,a /usr/bin/sh script,1258
ps2pdf,a /usr/bin/sh script,276
ps2pdf12,a /usr/bin/sh script,219
ps2pdf13,a /usr/bin/sh script,219
ps2pdf14,a /usr/bin/sh script,219
ps2pdfwr,a /usr/bin/sh script,1082
ps2ps,a /usr/bin/sh script,651
ps2ps2,a /usr/bin/sh script,673
psjoin,Perl script text executable,5218
psmandup,a /usr/bin/sh -e script,7897
psset,a /usr/bin/sh -e script,8389
pt2to3,Python script,953
ptar,Perl script text executable,3470
ptardiff,Perl script text executable,2549
ptargrep,Perl script text executable,4299
ptaskset,Python script,4573
ptdump,Python script,953
ptked,Perl script text executable,7956
ptksh,Perl script text executable,18572
ptrepack,Python script,957
pttree,Python script,953
pudb3,Python script,954
purple-remote,Python script,8378
purple-send,a /usr/bin/sh script,780
purple-send-async,a /usr/bin/sh script,639
purple-url-handler,Python script,10392
py.test-3.9,Python script,955
pycodestyle-3.9,Python script,978
pydoc2.7,Python script,78
pydoc3.5,Python script,78
pydoc3.6,Python script,78
pydoc3.7,Python script,78
pydoc3.8,Python script,78
pydoc3.9,Python script,78
pydocstyle,Python script,973
pyflakes-3.9,Python script,963
pygettext2.7.py,Python script,22082
pygettext3.6.py,Python script,21547
pygettext3.7.py,Python script,21547
pygettext3.8.py,Python script,21535
pygettext3.9.py,Python script,21535
pygmentize,Python script,967
pygobject-codegen-2.0,a /usr/bin/sh script,211
pygtk-codegen-2.0,a /usr/bin/sh script,314
pygtk-demo,Python script,189
pyinotify,Python script,968
pylint-3.9,Python script,953
pylupdate5,a /usr/bin/sh script,293
pyrcc5,a /usr/bin/sh script,276
pyreadelf-3.9,Python script,63739
pyreverse-3.9,Python script,959
pytest-3.9,Python script,953
python-argcomplete-check-easy-install-script,Python script,2558
python-argcomplete-tcsh,a /usr/bin/sh script,318
python2.7-config,Python script,1846
python3-autopep8,Python script,387
python3.5m-config,a /usr/bin/sh script,177
python3.5m-x86_64-config,makefile script,3799
python3.6m-config,a /usr/bin/sh script,177
python3.6m-x86_64-config,makefile script,3602
python3.7dm-config,a /usr/bin/sh script,179
python3.7dm-x86_64-config,makefile script,3400
python3.7m-config,a /usr/bin/sh script,177
python3.7m-x86_64-config,makefile script,3407
python3.8-config,a /usr/bin/sh script,175
python3.8-x86_64-config,makefile script,3592
python3.9-config,a /usr/bin/sh script,61
python3.9-x86_64-config,makefile script,3624
pyuic5,a /usr/bin/sh script,272
pyvenv-3.5,Python script,230
pyvenv-3.6,Python script,435
pyvenv-3.7,Python script,435
qmi-network,a /usr/bin/sh script,13523
qvlc,a /usr/bin/sh script,45
rakudo-gdb-m,OS/2 REXX batch file,1931
rakudo-lldb-m,OS/2 REXX batch file,1783
rakudo-valgrind-m,OS/2 REXX batch file,1609
rcsclean,a /usr/bin/sh script,829
rcsdiff,a /usr/bin/sh script,826
rcsfreeze,a /usr/bin/sh script,4447
rcsmerge,a /usr/bin/sh script,829
rdoc,Ruby script,510
re.pl,Perl script text executable,106
read,a /usr/bin/sh script,32
readmult,HTML document,803
rebuild-jar-repository,Bourne-Again shell script,1752
red,a /usr/bin/sh script,92
redhat_lsb_init,Bourne-Again shell script,576
redshift-gtk,Python script,985
register-python-argcomplete,Python script,1920
renew-dummy-cert,Bourne-Again shell script,729
report_mirror,Python script,9682
require-perl-tags,Perl script text executable,454
require-perl-tags-packed,Perl script text executable,85716
rftp,a /usr/bin/sh script,8892
rhino,a /usr/bin/sh script,610
ri,Ruby script,506
rlog,a /usr/bin/sh script,817
rlogin-cwd,a /usr/bin/sh script,505
roff2dvi,Perl script text executable,5721
roff2html,Perl script text executable,5721
roff2pdf,Perl script text executable,5721
roff2ps,Perl script text executable,5721
roff2text,Perl script text executable,5721
roff2x,Perl script text executable,5721
rst2html,Python script,597
rst2html4,Python script,717
rst2html5,Python script,1140
rst2latex,Python script,794
rst2man,Python script,602
rst2odt,Python script,767
rst2odt_prepstyles,Python script,1729
rst2pseudoxml,Python script,604
rst2s5,Python script,640
rst2xetex,Python script,874
rst2xml,Python script,605
rstpep2html,Python script,673
rsync-ssl,Bourne-Again shell script,4937
ruby,Bourne-Again shell script,2409
run-parts,Bourne-Again shell script,1987
run-with-aspell,a /usr/bin/sh script,89
runxlrd,Python script,16287
rvlc,a /usr/bin/sh script,45
s57dump,a /usr/bin/sh script,8040
scandeps.pl,Perl script text executable,6652
scour,Python script,951
scp-dbus-service,a /usr/bin/sh script,94
sealert,Python script,27534
seapplet,Python script,5534
sensors-conf-convert,Perl script text executable,13647
sesame,a /usr/bin/sh script,3378
set-default-locale,Python script,393
setreg,a /usr/bin/sh script,81
setup-nsssysinit.sh,a /usr/bin/sh script,1543
sgmldiff,Perl script text executable,15070
sgmlspl,Perl script text executable,9656
sgmlwhich,a /usr/bin/sh script,269
shade-jar,Bourne-Again shell script,2463
shasum,Perl script text executable,9892
shell-quote,Perl script text executable,5473
sigil,a /usr/bin/sh script,983
simbib,a /usr/bin/csh -f script,843
simref,a /usr/bin/csh -f script,2479
sliceprint,Perl script text executable,2039
slick-greeter-check-hidpi,Python script,1627
slick-greeter-set-keyboard-layout,Python script,1962
smb2-quota,Python script,6455
smbprint,a /usr/bin/sh script,2292
smbtar,a /usr/bin/sh script,4926
smtpd2.7.py,Python script,18542
sn,a /usr/bin/sh script,87
soapsuds,a /usr/bin/sh script,83
sotruss,Bourne-Again shell script,4283
source-highlight-esc.sh,a /usr/bin/sh script,1021
spell,a /usr/bin/sh script,125
splain,Perl script text executable,19411
sqlmetal,a /usr/bin/sh script,83
sqlsharp,a /usr/bin/sh script,83
sqlt,Perl script text executable,12271
sqlt-diagram,Perl script text executable,5553
sqlt-diff,Perl script text executable,6682
sqlt-diff-old,Perl script text executable,19114
sqlt-dumper,Perl script text executable,3287
sqlt-graph,Perl script text executable,8242
src-hilite-lesspipe.sh,a /usr/bin/sh script,493
ssh-copy-id,a /usr/bin/sh script,10945
starman,Perl script text executable,9302
start-pulseaudio-x11,a /usr/bin/sh script,1836
startfluxbox,a /usr/bin/sh script,1448
startx,a /usr/bin/sh script,5654
startxfce4,a /usr/bin/sh script,3131
stemmer-da,Perl script text executable,286
stemmer-no,Perl script text executable,517
stemmer-se,Perl script text executable,517
strace-log-merge,a /usr/bin/sh script,1825
streamzip,Perl script text executable,5587
stubgen,Python script,949
stubtest,Python script,951
subtitles,Bourne-Again shell script,1735
sushi,a /usr/bin/gjs script,1342
svcutil,a /usr/bin/sh script,82
svlc,a /usr/bin/sh script,49
switcherooctl,Python script,4649
symilar-3.9,Python script,955
system-config-language,a /usr/bin/sh script,91
system-config-printer,a /usr/bin/sh script,99
system-config-printer-applet,a /usr/bin/sh script,84
tab2graph,Perl script text executable,4854
tablify,Perl script text executable,12989
tabmerge,Perl script text executable,10091
tabulate,Python script,963
tcptraceroute,a /usr/bin/sh script,1586
testr-3.9,Python script,960
texi2any,Perl script text executable,50132
texi2dvi,a /usr/bin/sh script,59831
texi2dvi4a2ps,TeX document,21805
texi2pdf,a /usr/bin/sh script,1250
texindex,a /usr/bin/sh script,4001
text-vimcolor,Perl script text executable,10555
tgz,a /usr/bin/sh script,2299
thonny,Python script,945
thunar-settings,a /usr/bin/sh script,337
thunderbird,Bourne-Again shell script,4723
timed-read,a /usr/bin/sh script,307
timed-run,a /usr/bin/sh script,281
tkjpeg,Perl script text executable,1402
tox,Python script,941
tox-quickstart,Python script,963
tpage,Perl script text executable,9068
ttree,Perl script text executable,39138
type,a /usr/bin/sh script,32
tzselect,Bourne-Again shell script,15352
uflash,Python script,953
ufs,Python script,950
ulimit,a /usr/bin/sh script,34
umask,a /usr/bin/sh script,33
unalias,a /usr/bin/sh script,35
unbuffer,a /usr/bin/sh script,644
unicode_start,a /usr/bin/sh script,2633
unicode_stop,a /usr/bin/sh script,367
unopkg,a /usr/bin/sh script,374
update-ca-trust,a /usr/bin/sh script,1272
update-crypto-policies,a /usr/bin/sh script,87
update-gap-workspace,a /usr/bin/sh script,811
update-gtk-immodules,a /usr/bin/sh script,316
upload-system-info,Python script,605
urifind,Perl script text executable,7272
usb-devices,a /usr/bin/sh script,4104
use-devel-assertos,Perl script text executable,5193
uxterm,a /usr/bin/sh script,4269
uz,a /usr/bin/sh script,2545
vimdot,a /usr/bin/sh script,1086
vimiv,Python script,309
vimtutor,a /usr/bin/sh script,2124
virtualenv,Python script,979
virtualenv-clone,Python script,1003
vizquery,awk or perl script,8370
w3mman,Perl script text executable,1204
wait,a /usr/bin/sh script,32
weather,a /usr/bin/sh script,2241
withsctp,a /usr/bin/sh script,250
wordview,Tcl/Tk script,9186
wsdl,a /usr/bin/sh script,79
wsdl2,a /usr/bin/sh script,79
x86_64-redhat-linux-gnu-pkg-config,a /usr/bin/sh script,829
xdg-desktop-icon,a /usr/bin/sh script,21214
xdg-desktop-menu,a /usr/bin/sh script,44571
xdg-email,a /usr/bin/sh script,27307
xdg-icon-resource,a /usr/bin/sh script,30719
xdg-mime,a /usr/bin/sh script,42792
xdg-open,a /usr/bin/sh script,25766
xdg-screensaver,a /usr/bin/sh script,37888
xdg-settings,a /usr/bin/sh script,38628
xdg-user-dir,a /usr/bin/sh script,238
xdvi,a /usr/bin/sh script,1867
xfce4-panel-profiles,a /usr/bin/sh script,113
xfce4-popup-applicationsmenu,a /usr/bin/sh script,1572
xfce4-popup-directorymenu,a /usr/bin/sh script,1500
xfce4-popup-places,a /usr/bin/sh script,1543
xfce4-popup-whiskermenu,a /usr/bin/sh script,1544
xfce4-popup-windowmenu,a /usr/bin/sh script,1497
xfce4-set-wallpaper,Bourne-Again shell script,613
xflock4,a /usr/bin/sh script,1721
xgettext.pl,Perl script text executable,6561
xkibitz,a /usr/bin/sh script,4866
xlet-about-dialog,Python script,4070
xlet-settings,Python script,286
xminicom,a /usr/bin/sh script,1510
xml2-config,a /usr/bin/sh script,1876
xml2odf,Python script,8802
xorg-x11-fonts-update-dirs,a /usr/bin/sh script,1326
xpath,Perl script text executable,4857
xscreensaver-getimage-file,Perl script text executable,40308
xscreensaver-getimage-video,Perl script text executable,4267
xscreensaver-text,Perl script text executable,27716
xsd,a /usr/bin/sh script,78
xsubpp,Perl script text executable,5080
xzdiff,a /usr/bin/sh script,6637
xzgrep,a /usr/bin/sh script,5634
xzless,a /usr/bin/sh script,1803
xzmore,a /usr/bin/sh script,2166
yamllint,Python script,966
zcat,a /usr/bin/sh script,1988
zcmp,a /usr/bin/sh script,1682
zdiff,a /usr/bin/sh script,5884
zegrep,a /usr/bin/sh script,33
zfgrep,a /usr/bin/sh script,33
zforce,a /usr/bin/sh script,2085
zgrep,a /usr/bin/sh script,7596
zipdetails,Perl script text executable,57313
zipgrep,a /usr/bin/sh script,2957
zless,a /usr/bin/sh script,2210
zmore,a /usr/bin/sh script,1846
znew,a /usr/bin/sh script,4557
zstdgrep,a /usr/bin/sh script,3873
zstdless,a /usr/bin/sh script,34
